source	Unique taxa	Unique environments	Unique processes	Taxa associations with Environments	Taxa associations with processes	Total interactions
PREGO total	44553	919	8178	941820	884848	1826668
subgenus	1
	188
strain	9699
subclass	3
genus	3452
species	28488
biotype	7
order	228
isolate	37
clade	66
subspecies	436
forma	1
subphylum	2
subfamily	1
varietas	3
tribe	2
serogroup	113
phylum	99
family	522
class	102
species group	68
serotype	82
no rank	911
suborder	7
forma specialis	12
pathogroup	4
species subgroup	19
2	42710
2157	1843
