source	Unique taxa	Unique environments	Unique processes	Taxa associations with Environments	Taxa associations with processes	Total interactions
text mining	27937	908	8306	254488	856144	1110632
subgenus	1
	149
strain	3669
subclass	3
genus	3384
species	18265
biotype	7
order	228
isolate	9
clade	63
subspecies	399
forma	1
subphylum	2
subfamily	1
varietas	1
tribe	2
serogroup	105
phylum	102
family	522
class	104
species group	67
serotype	68
no rank	751
suborder	7
forma specialis	5
pathogroup	4
species subgroup	18
2	26777
2157	1160
